sample_id,ticker,sector,cold_start_weeks,model,augmentation_method,augmentation_ratio,n_synthetic_points,MAE,RMSE,MAPE
AAPL_w04_s0019,AAPL,technology,4,linear_trend,statistical,0.5,10,22.876624312739324,24.830942099312466,13.667234735494278
AAPL_w04_s0019,AAPL,technology,4,naive,statistical,1.0,20,18.413956996926224,19.720225481925212,11.001413588711205
AAPL_w04_s0019,AAPL,technology,4,moving_average,statistical,1.0,20,19.41574779778329,20.658769162765985,11.610256902859168
AAPL_w04_s0019,AAPL,technology,4,linear_trend,statistical,1.0,20,28.744105295219956,30.43799037668106,17.22303676596035
AAPL_w04_s0019,AAPL,technology,4,naive,statistical,2.0,40,33.63701143847367,34.369492566596506,20.2533002198493
AAPL_w04_s0019,AAPL,technology,4,moving_average,statistical,2.0,40,32.55650397954218,33.3127517948198,19.59661646741853
AAPL_w04_s0019,AAPL,technology,4,linear_trend,statistical,2.0,40,43.48222774161845,44.69945320949323,26.174844227347826
AAPL_w04_s0020,AAPL,technology,4,naive,statistical,0.5,10,8.968882620692527,11.05671322041186,6.285457863722297
AAPL_w04_s0020,AAPL,technology,4,moving_average,statistical,0.5,10,10.769447942604135,13.076712960946123,7.558112150898324
AAPL_w04_s0020,AAPL,technology,4,linear_trend,statistical,0.5,10,4.6360463031061485,5.665366531230844,3.201343940826885
AAPL_w04_s0020,AAPL,technology,4,naive,statistical,1.0,20,8.481026070620244,10.529172966674302,5.937329713785296
AAPL_w04_s0020,AAPL,technology,4,moving_average,statistical,1.0,20,8.331189654574585,10.360350486895525,5.829378106520808
AAPL_w04_s0020,AAPL,technology,4,linear_trend,statistical,1.0,20,6.106964982482492,7.325445613431125,4.006762390712879
AAPL_w04_s0020,AAPL,technology,4,naive,statistical,2.0,40,7.8476101896557315,9.277288122294888,5.183769639150158
AAPL_w04_s0020,AAPL,technology,4,moving_average,statistical,2.0,40,8.043208887270428,9.631430910487099,5.290213592011858
AAPL_w04_s0020,AAPL,technology,4,linear_trend,statistical,2.0,40,14.381868921504008,15.36297412895667,9.531559158556545
AAPL_w04_s0021,AAPL,technology,4,naive,statistical,0.5,10,8.274623247858525,9.764179531863709,5.8513651159539295
AAPL_w04_s0021,AAPL,technology,4,moving_average,statistical,0.5,10,7.164205503234606,8.549277005536803,5.067680371680634
AAPL_w04_s0021,AAPL,technology,4,linear_trend,statistical,0.5,10,21.249728196682018,22.850979885490183,15.261297741337518
AAPL_w04_s0021,AAPL,technology,4,naive,statistical,1.0,20,17.43114878437638,18.33102673257222,12.477028384573297
AAPL_w04_s0021,AAPL,technology,4,moving_average,statistical,1.0,20,15.833887323485387,16.819440564419573,11.318132542925836
AAPL_w04_s0021,AAPL,technology,4,linear_trend,statistical,1.0,20,30.310227516760488,31.467749421278324,21.83530441381679
AAPL_w04_s0021,AAPL,technology,4,naive,statistical,2.0,40,35.28037363239686,35.73354665812974,25.427564636454488
AAPL_w04_s0021,AAPL,technology,4,moving_average,statistical,2.0,40,34.47278640872793,34.936436508450434,24.841618316335133
AAPL_w04_s0021,AAPL,technology,4,linear_trend,statistical,2.0,40,49.73045946989395,50.49118870766673,35.926432971757585
AAPL_w04_s0022,AAPL,technology,4,naive,statistical,0.5,10,10.84925350733889,13.317899534273925,6.624109737518692
AAPL_w04_s0022,AAPL,technology,4,moving_average,statistical,0.5,10,10.39281588407737,12.780910533281551,6.348619577612544
AAPL_w04_s0022,AAPL,technology,4,linear_trend,statistical,0.5,10,3.6865336366364696,4.595409767889524,2.4276689903108317
AAPL_w04_s0022,AAPL,technology,4,naive,statistical,1.0,20,7.936073290170772,9.30767471543119,5.142086074148931
AAPL_w04_s0022,AAPL,technology,4,moving_average,statistical,1.0,20,7.906920296149039,8.908344272953263,5.010138552411752
AAPL_w04_s0022,AAPL,technology,4,linear_trend,statistical,1.0,20,11.351418990894837,11.784130378279622,7.309719610919978
AAPL_w04_s0022,AAPL,technology,4,naive,statistical,2.0,40,14.264476921720554,16.79866695550731,9.373985694415929
AAPL_w04_s0022,AAPL,technology,4,moving_average,statistical,2.0,40,15.1588676760073,17.564486296230072,9.94178886542891
AAPL_w04_s0022,AAPL,technology,4,linear_trend,statistical,2.0,40,27.26113584844475,27.43158660562092,17.405070954032897
AAPL_w04_s0023,AAPL,technology,4,naive,statistical,0.5,10,27.014005862412773,27.705808908020717,17.74407989162814
AAPL_w04_s0023,AAPL,technology,4,moving_average,statistical,0.5,10,26.66633216050181,27.366925391930707,17.51774866736571
AAPL_w04_s0023,AAPL,technology,4,linear_trend,statistical,0.5,10,44.81146792169115,47.053522926979284,29.52447034934904
AAPL_w04_s0023,AAPL,technology,4,naive,statistical,1.0,20,39.41183325114446,39.88919571424453,25.814910200802633
AAPL_w04_s0023,AAPL,technology,4,moving_average,statistical,1.0,20,37.81472741241097,38.311994776939436,24.77521430844609
AAPL_w04_s0023,AAPL,technology,4,linear_trend,statistical,1.0,20,56.544577349598775,58.383991268251684,37.16688712342934
AAPL_w04_s0023,AAPL,technology,4,naive,statistical,2.0,40,60.335323616551214,60.64822017526361,39.4358402976622
AAPL_w04_s0023,AAPL,technology,4,moving_average,statistical,2.0,40,61.17966981550209,61.4882698833456,39.98549909514818
AAPL_w04_s0023,AAPL,technology,4,linear_trend,statistical,2.0,40,79.67724526951645,81.01016611086197,52.22814797463064
